,s,dataframe,fold,acc,noise_level
116,0.5,hepatitis,9,0.5333333333333333,0.0
117,0.5,hepatitis,9,0.5333333333333333,0.05
118,0.5,hepatitis,9,0.6666666666666666,0.1
119,0.5,hepatitis,9,0.6666666666666666,0.3
120,0.75,hepatitis,0,0.5625,0.0
121,0.75,hepatitis,0,0.875,0.05
122,0.75,hepatitis,0,1.0,0.1
123,0.75,hepatitis,0,1.0,0.3
124,0.75,hepatitis,1,0.8125,0.0
125,0.75,hepatitis,1,0.875,0.05
126,0.75,hepatitis,1,0.8125,0.1
127,0.75,hepatitis,1,0.8125,0.3
128,0.75,hepatitis,2,0.9375,0.0
129,0.75,hepatitis,2,0.875,0.05
130,0.75,hepatitis,2,0.9375,0.1
131,0.75,hepatitis,2,0.875,0.3
132,0.75,hepatitis,3,0.75,0.0
133,0.75,hepatitis,3,0.75,0.05
134,0.75,hepatitis,3,0.8125,0.1
135,0.75,hepatitis,3,0.875,0.3
136,0.75,hepatitis,4,0.75,0.0
137,0.75,hepatitis,4,0.75,0.05
138,0.75,hepatitis,4,0.75,0.1
139,0.75,hepatitis,4,0.8125,0.3
140,0.75,hepatitis,5,0.7333333333333333,0.0
141,0.75,hepatitis,5,0.7333333333333333,0.05
142,0.75,hepatitis,5,0.8,0.1
143,0.75,hepatitis,5,0.6,0.3
144,0.75,hepatitis,6,0.7333333333333333,0.0
145,0.75,hepatitis,6,0.4666666666666667,0.05
146,0.75,hepatitis,6,0.5333333333333333,0.1
147,0.75,hepatitis,6,0.6666666666666666,0.3
148,0.75,hepatitis,7,0.8666666666666667,0.0
149,0.75,hepatitis,7,0.6666666666666666,0.05
150,0.75,hepatitis,7,0.8,0.1
151,0.75,hepatitis,7,0.8,0.3
152,0.75,hepatitis,8,0.6666666666666666,0.0
153,0.75,hepatitis,8,0.6666666666666666,0.05
154,0.75,hepatitis,8,0.6,0.1
155,0.75,hepatitis,8,0.6666666666666666,0.3
156,0.75,hepatitis,9,0.6,0.0
157,0.75,hepatitis,9,0.6,0.05
158,0.75,hepatitis,9,0.6,0.1
159,0.75,hepatitis,9,0.26666666666666666,0.3
160,1.0,hepatitis,0,0.9375,0.0
161,1.0,hepatitis,0,1.0,0.05
162,1.0,hepatitis,0,0.9375,0.1
163,1.0,hepatitis,0,0.5625,0.3
164,1.0,hepatitis,1,0.875,0.0
165,1.0,hepatitis,1,0.8125,0.05
166,1.0,hepatitis,1,0.875,0.1
167,1.0,hepatitis,1,0.875,0.3
168,1.0,hepatitis,2,0.9375,0.0
169,1.0,hepatitis,2,0.875,0.05
170,1.0,hepatitis,2,0.875,0.1
171,1.0,hepatitis,2,0.9375,0.3
172,1.0,hepatitis,3,0.75,0.0
173,1.0,hepatitis,3,0.9375,0.05
174,1.0,hepatitis,3,0.875,0.1
175,1.0,hepatitis,3,0.875,0.3
176,1.0,hepatitis,4,0.75,0.0
177,1.0,hepatitis,4,0.75,0.05
178,1.0,hepatitis,4,0.6875,0.1
179,1.0,hepatitis,4,0.8125,0.3
180,1.0,hepatitis,5,0.6666666666666666,0.0
181,1.0,hepatitis,5,0.6,0.05
182,1.0,hepatitis,5,0.7333333333333333,0.1
183,1.0,hepatitis,5,0.6666666666666666,0.3
184,1.0,hepatitis,6,0.8,0.0
185,1.0,hepatitis,6,0.8,0.05
186,1.0,hepatitis,6,0.8,0.1
187,1.0,hepatitis,6,0.6666666666666666,0.3
188,1.0,hepatitis,7,0.8666666666666667,0.0
189,1.0,hepatitis,7,0.7333333333333333,0.05
190,1.0,hepatitis,7,0.8666666666666667,0.1
191,1.0,hepatitis,7,0.7333333333333333,0.3
192,1.0,hepatitis,8,0.6,0.0
193,1.0,hepatitis,8,0.6,0.05
194,1.0,hepatitis,8,0.6,0.1
195,1.0,hepatitis,8,0.7333333333333333,0.3
196,1.0,hepatitis,9,0.7333333333333333,0.0
197,1.0,hepatitis,9,0.7333333333333333,0.05
198,1.0,hepatitis,9,0.5333333333333333,0.1
199,1.0,hepatitis,9,0.6,0.3
